"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"34633","Moricizine","HMDB0014818","34633","6997","C07743",NA,"CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1","1"
"637775","Sinapic acid","HMDB0032616","637775","15714","C00482",NA,"COC1=CC(\C=C\C(O)=O)=CC(OC)=C1O","1"
"14335","N'-nitrosoanabasine","HMDB0041939","14335",NA,"C19477",NA,"O=NN1CCCCC1C1=CN=CC=C1","1"
"13666","NA","NA","NA","NA","NA","NA","NA","0"
"68252","Thymol acetate",NA,"68252",NA,NA,NA,NA,"1"
"11915","Phenylglyoxylic acid","HMDB0001587","11915","18280","C02137",NA,"OC(=O)C(=O)C1=CC=CC=C1","1"
"5911","NA","NA","NA","NA","NA","NA","NA","0"
"5371002","alpha-Irone","HMDB0035631","5371002","10284","C09690",NA,"CC1CC=C(C)C(\C=C\C(C)=O)C1(C)C","1"
"75048","Methoxychlor olefin",NA,"75048",NA,NA,NA,NA,"1"
"69925","NA","NA","NA","NA","NA","NA","NA","0"
"800","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","O=CCC1=CNC2=C1C=CC=C2","1"
"440126","NA","NA","NA","NA","NA","NA","NA","0"
"86102","NA","NA","NA","NA","NA","NA","NA","0"
"5281166","Jasmonic acid","HMDB0032797","5281166","18292","C08491",NA,"CC\C=C/C[C@@H]1[C@@H](CC(O)=O)CCC1=O","1"
"173651","NA","NA","NA","NA","NA","NA","NA","0"
"442206","Elephantopin",NA,"442206","4773","C09403",NA,"C=C(C)C(=O)O1CC2=C(C3(C)O33OC(=O)C(=C)13)OC2=O","1"
"854067","D-synephrine","HMDB0062811","854067","119","C01869",NA,"CNC[C@H](O)C1=CC=C(O)C=C1","1"
"5312508","Stearidonic acid","HMDB0006547","5312508","32389","C16300",NA,"CC\C=C/C\C=C/C\C=C/C\C=C/CCCCC(O)=O","1"
"1489","4-(2,4-dichlorophenoxy)butanoic acid",NA,"1489",NA,NA,NA,NA,"1"
"439216","L-Dihydroorotic acid","HMDB0003349","439216","17025","C00337","6899","OC(=O)[C@@H]1CC(=O)NC(=O)N1","1"
"11236","NA","NA","NA","NA","NA","NA","NA","0"
"5796","NA","NA","NA","NA","NA","NA","NA","0"
"186059","NA","NA","NA","NA","NA","NA","NA","0"
"46174042","NA","NA","NA","NA","NA","NA","NA","0"
"91701","Fluazifop","HMDB0252322","91701","83598","C18527",NA,"CC(OC1=CC=C(OC2=NC=C(C=C2)C(F)(F)F)C=C1)C(O)=O","1"
"440168","NA","NA","NA","NA","NA","NA","NA","0"
"161120","Ginkgolide C","HMDB0036860","161120",NA,"C07603",NA,"CC1C(=O)OC2C(O)C34C5OC(=O)C3(OC3OC(=O)C(O)C43C(C5O)C(C)(C)C)C12O","1"
"3050259","NA","NA","NA","NA","NA","NA","NA","0"
"4659569","Tolcapone","HMDB0014468","4659569","63630","C07949",NA,"CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O","1"
"5281372","Jatrophatrione",NA,"5281372",NA,NA,NA,NA,"1"
"21319","Flucloxacillin","HMDB0014446","21319","5098","C11748",NA,"[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(F)C=CC=C1Cl)C(O)=O","1"
"167937","Adiantifoline",NA,"167937",NA,NA,NA,NA,"1"
"1195","Isopentenyl pyrophosphate","HMDB0001347","1195","16584","C00129","6181","CC(=C)CCOP(O)(=O)OP(O)(O)=O","1"
"254","NA","NA","NA","NA","NA","NA","NA","0"
"442119","Thienodolin",NA,"442119",NA,NA,NA,NA,"1"
"5281159","(+)-cucurbic acid",NA,"5281159","18446","C08482",NA,"CC/C=C\C1(O)CC1CC(=O)O","1"
"163913","S-(2-Chloroacetyl)glutathione","HMDB0060505","163913","34959","C14864",NA,"[H][C@](N)(CCC(O)=N[C@@]([H])(CSC(=O)CCl)C(O)=NCC(O)=O)C(O)=O","1"
"3229","Enoxacin","HMDB0014610","3229","157175","C06979",NA,"CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1","1"
"20218","(+)-Bornane-2,5-dione",NA,"20218","36775","C03037",NA,"CC12CC(=O)C(CC1=O)C2(C)C","1"
"9543071","NA","NA","NA","NA","NA","NA","NA","0"
"439287","Deoxyribose 1-phosphate","HMDB0001351","439287","28542","C00672","6182","OC[C@H]1OC(C[C@@H]1O)OP(O)(O)=O","1"
"62020","NA","NA","NA","NA","NA","NA","NA","0"
"6324617","NA","NA","NA","NA","NA","NA","NA","0"
"221071","alpha-Santonin",NA,"221071","16363","C02206",NA,"CC1=C23OC(=O)(C)3CC2(C)C=CC1=O","1"
"68759","5-L-Glutamyl-taurine","HMDB0004195","68759","27694","C05844",NA,"N[C@@H](CCC(=O)NCCS(O)(=O)=O)C(O)=O","1"
"46173869","NA","NA","NA","NA","NA","NA","NA","0"
"2477","Buspirone","HMDB0014633","2477","3223","C06861",NA,"O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1","1"
"96356","Phosphoramide mustard","HMDB0060689","96356","8163","C07647",NA,"NP(O)(=O)N(CCCl)CCCl","1"
"76739","Bisphenol A dimethacrylate","HMDB0249275","76739","34579","C14345",NA,"CC(=C)C(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)C(C)=C)C=C1","1"
"8400","Benzoin","HMDB0032039","8400","17682","C01408",NA,"OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1","1"
"8404","NA","NA","NA","NA","NA","NA","NA","0"
"1150","Tryptamine","HMDB0000303","1150","16765","C00398","325","NCCC1=CNC2=C1C=CC=C2","1"
"5281201","NA","NA","NA","NA","NA","NA","NA","0"
"5280417","3,7-Dimethylquercetin","HMDB0029263","5280417","18010","C01265",NA,"COC1=CC2=C(C(O)=C1)C(=O)C(OC)=C(O2)C1=CC(O)=C(O)C=C1","1"
"7057","2-Aminonaphthalene","HMDB0041802","7057","27878","C02227",NA,"NC1=CC2=CC=CC=C2C=C1","1"
"24883455","2-(3-Methylthiopropyl)malic acid",NA,"24883455",NA,NA,NA,NA,"1"
"24971","NA","NA","NA","NA","NA","NA","NA","0"
"5462194","NA","NA","NA","NA","NA","NA","NA","0"
"5578","Trimethoprim","HMDB0014583","5578","45924","C01965",NA,"COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC","1"
"64139","Efavirenz","HMDB0014763","64139","119486","C08088",NA,"FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1","1"
"10037499","5,7,24(28)-Ergostatrienol","HMDB0060404","10037499","80095","C15778",NA,"CC(C)C(=C)CC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C","1"
"5326566","NA","NA","NA","NA","NA","NA","NA","0"
"7406","Isopropylbenzene","HMDB0034029","7406","34656","C14396",NA,"CC(C)C1=CC=CC=C1","1"
"68433","Melicopine",NA,"68433",NA,NA,NA,NA,"1"
"906426","Heliotrine",NA,"906426",NA,NA,NA,NA,"1"
"440217","D-Pantothenoyl-L-cysteine","HMDB0006834","440217","18416","C04079",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(O)=O","1"
"439241","NA","NA","NA","NA","NA","NA","NA","0"
"152946","Moxifloxacin","HMDB0014363","152946","63611","C07663",NA,"[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O","1"
"9548637","Glucoiberverin","HMDB0304681","9548637",NA,"C08412",NA,"CSCCC\C(S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=N/OS([O-])(=O)=O","1"
"6336010","NA","NA","NA","NA","NA","NA","NA","0"
"643733","NA","NA","NA","NA","NA","NA","NA","0"
"122841","Aspidinol",NA,"122841",NA,NA,NA,NA,"1"
"68231","NA","NA","NA","NA","NA","NA","NA","0"
"5961","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"7034","NA","NA","NA","NA","NA","NA","NA","0"
"5280505","Latia luciferin",NA,"5280505","17269","C02293",NA,"CC1=C(CC/C(C)=C/OC=O)C(C)(C)CCC1","1"
"161538","Paucin",NA,"161538",NA,NA,NA,NA,"1"
"439898","NA","NA","NA","NA","NA","NA","NA","0"
"8905","4-Hydroxyphthalate",NA,"8905","27600","C06680",NA,NA,"1"
"93017","podocarpic acid",NA,"93017","8277","C09171",NA,"C1(C(=O)O)CCC2(C)c3cc(O)ccc3CC12","1"
"88363","NA","NA","NA","NA","NA","NA","NA","0"
"29354","NA","NA","NA","NA","NA","NA","NA","0"
"440867","Acetyl adenylate","HMDB0006880","440867","37666","C05993",NA,"CC(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"160539","NA","NA","NA","NA","NA","NA","NA","0"
"587","Phosphocreatine","HMDB0001511","587","17287","C02305","6288","CN(CC(O)=O)C(=N)NP(O)(O)=O","1"
"667639","3,3',4'5-Tetrahydroxystilbene","HMDB0004215","667639","28814","C05901",NA,"OC1=CC(\C=C\C2=CC(O)=C(O)C=C2)=CC(O)=C1","1"
"164695","NA","NA","NA","NA","NA","NA","NA","0"
"33032","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"31229","Phenyl acetate","HMDB0040733","31229","8082","C15583",NA,"CC(=O)OC1=CC=CC=C1","1"
"46173811","(+)-abscisic acid beta-D-glucopyranosyl ester",NA,"46173811","22151","C15970",NA,"CC1=CC(=O)CC(C)(C)1(O)/C=C/C(C)=C\C(=O)O1O(CO)(O)(O)1O","1"
"4990","Pyricarbate","HMDB0256959","4990",NA,"C12842",NA,"CN=C(O)OCC1=CC=CC(COC(O)=NC)=N1","1"
"145742","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"3291","Ethosuximide","HMDB0014731","3291","4887","C07505",NA,"CCC1(C)CC(=O)NC1=O","1"
"1047","Pyrazin-2-carboxylic acid","HMDB0059734","1047","71311","C19915",NA,"OC(=O)C1=CN=CC=N1","1"
"11831","2-Nitrofluorene","HMDB0245257","11831","1224","C10923",NA,"O=N(=O)C1=CC=C2C(CC3=CC=CC=C23)=C1","1"
"5270647","NA","NA","NA","NA","NA","NA","NA","0"
"439435","3-(3,4-Dihydroxyphenyl)lactic acid","HMDB0003503","439435","17807","C01207","6942","OC(CC1=CC(O)=C(O)C=C1)C(O)=O","1"
"1549098","3-Sulfinoalanine","HMDB0000996","1549098","16345","C00606","5927","N[C@@H](CS(O)=O)C(O)=O","1"
"3026336","NA","NA","NA","NA","NA","NA","NA","0"
"119269","Kievitone","HMDB0034213","119269","16832","C01590",NA,"CC(C)=CCC1=C2OCC(C(=O)C2=C(O)C=C1O)C1=C(O)C=C(O)C=C1","1"
"3034285","NA","NA","NA","NA","NA","NA","NA","0"
"3035026","NA","NA","NA","NA","NA","NA","NA","0"
"130","2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",NA,"130","17250","C04115",NA,"O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O","1"
"94214","NA","NA","NA","NA","NA","NA","NA","0"
"121893","Protoporphyrinogen IX","HMDB0001097","121893","15435","C01079","6003","CC1=C2CC3=C(C)C(C=C)=C(CC4=C(C)C(C=C)=C(CC5=C(C)C(CCC(O)=O)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3","1"
"9502","Linuron","HMDB0254109","9502","6482","C11007",NA,"CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1","1"
"441833","NA","NA","NA","NA","NA","NA","NA","0"
"440341","NA","NA","NA","NA","NA","NA","NA","0"
"6049","Edetic Acid","HMDB0015109","6049","42191","C00284",NA,"OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","1"
"25244947","NA","NA","NA","NA","NA","NA","NA","0"
"445937","NA","NA","NA","NA","NA","NA","NA","0"
"8246","NA","NA","NA","NA","NA","NA","NA","0"
"91591","NA","NA","NA","NA","NA","NA","NA","0"
"5281790","Neogitogenin 3-[glucosyl-(1->2)-glucosyl-(1->4)-galactoside]","HMDB0041134","5281790","8393","C10487",NA,"CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1","1"
"6452133","NA","NA","NA","NA","NA","NA","NA","0"
"442420","Boschnialactone",NA,"442420",NA,NA,NA,NA,"1"
"10365832","NA","NA","NA","NA","NA","NA","NA","0"
"442988","NA","NA","NA","NA","NA","NA","NA","0"
"439227","L-Pipecolic acid","HMDB0000716","439227","30913","C00408","5684","OC(=O)[C@@H]1CCCCN1","1"
"440869","7-Hydroxy-6-methyl-8-(1-D-ribityl)lumazine",NA,"440869",NA,NA,NA,NA,"1"
"9294","Ephedrine","HMDB0015451","9294","15407","C01575",NA,"CN[C@@H](C)[C@H](O)C1=CC=CC=C1","1"
"442670","Cajanol","HMDB0033924","442670",NA,"C10204",NA,"COC1=CC(O)=C2C(=O)C(COC2=C1)C1=C(OC)C=C(O)C=C1","1"
"443489","NA","NA","NA","NA","NA","NA","NA","0"
"643731","Violet-leaf aldehyde","HMDB0033857","643731","7610","C08499",NA,"CC\C=C/CC\C=C\C=O","1"
"440728","19-Hydroxytestosterone","HMDB0006769","440728","27406","C05294",NA,"[H]C12CC[C@H](O)[C@@]1(C)CCC1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12CO","1"
"5280559","NA","NA","NA","NA","NA","NA","NA","0"
"440920","gamma-Glutamyl-beta-aminopropiononitrile","HMDB0060477","440920","28092","C06114",NA,"[H][C@](N)(CCC(O)=NCCC#N)C(O)=O","1"
"440138","5-exo-Hydroxy-1,2-campholide",NA,"440138",NA,NA,NA,NA,"1"
"644213","2-Chloro-5-nitro-N-phenylbenzamide","HMDB0252995","644213",NA,"C15627",NA,"[O-][N+](=O)C1=CC=C(Cl)C(=C1)C(=O)NC1=CC=CC=C1","1"
"10249","Nicotyrine","HMDB0255591","10249",NA,"C10161",NA,"CN1C=CC=C1C1=CN=CC=C1","1"
"11349616","Acetyl-maltose",NA,"11349616",NA,NA,NA,NA,"1"
"5280460","Scopoletin","HMDB0034344","5280460","17488","C01752",NA,"COC1=C(O)C=C2OC(=O)C=CC2=C1","1"
"51399546","NA","NA","NA","NA","NA","NA","NA","0"
"46093","Miotine",NA,"46093",NA,NA,NA,NA,"1"
"5610","Tyramine","HMDB0000306","5610","15760","C00483","60","NCCC1=CC=C(O)C=C1","1"
"16498","3-Isopropylcatechol",NA,"16498",NA,NA,NA,NA,"1"
"442586","Dasytrichone",NA,"442586","4327","C10035",NA,"CC1=C(O)c2c(oc(-c3ccccc3)cc2=O)C(C)(C)C1=O","1"
"11953814","Octanoylcarnitine","HMDB0000791","11953814","18102","C02838",NA,"CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"6917","N-VINYL-2-PYRROLIDONE","HMDB0255245","6917",NA,"C19548",NA,"C=CN1CCCC1=O","1"
"2880","Croconazole",NA,"2880",NA,NA,NA,NA,"1"
"73323","Xanthylic acid","HMDB0001554","73323","15652","C00655",NA,"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O","1"
"190","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"155169","NA","NA","NA","NA","NA","NA","NA","0"
"135538","4-(Hydroxymethyl)phenylhydrazine",NA,"135538",NA,NA,NA,NA,"1"
"146903","NA","NA","NA","NA","NA","NA","NA","0"
"439556","NA","NA","NA","NA","NA","NA","NA","0"
"442642","Hygroline",NA,"442642",NA,NA,NA,NA,"1"
"442372","NA","NA","NA","NA","NA","NA","NA","0"
"6050","Glycerol tributanoate","HMDB0031094","6050","35020","C13870",NA,"CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC","1"
"442255","NA","NA","NA","NA","NA","NA","NA","0"
"7965","Cyclohexylamine","HMDB0031404","7965","15773","C00571",NA,"NC1CCCCC1","1"
"439274","Androst-4-en-3-one",NA,"439274",NA,NA,NA,NA,"1"
"22266653","NA","NA","NA","NA","NA","NA","NA","0"
"10786","2-Deoxy-D-ribose","HMDB0245099","10786","131350",NA,NA,"OCC(O)C(O)CC=O","1"
"182378","NA","NA","NA","NA","NA","NA","NA","0"
"201408","NA","NA","NA","NA","NA","NA","NA","0"
"6857424","NA","NA","NA","NA","NA","NA","NA","0"
"439383","NA","NA","NA","NA","NA","NA","NA","0"
"23724544","NA","NA","NA","NA","NA","NA","NA","0"
"5281637","Irisxanthone",NA,"5281637",NA,NA,NA,NA,"1"
"40087","NA","NA","NA","NA","NA","NA","NA","0"
"4055","Menadione","HMDB0001892","4055","28869","C05377","3910","CC1=CC(=O)C2=CC=CC=C2C1=O","1"
"36733","NA","NA","NA","NA","NA","NA","NA","0"
"161276","NA","NA","NA","NA","NA","NA","NA","0"
"74839","N-Acetyl-L-phenylalanine","HMDB0000512","74839","16259","C03519","5498","CC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"442923","Paeonolide",NA,"442923",NA,NA,NA,NA,"1"
"11953939","Scorpioidin",NA,"11953939",NA,NA,NA,NA,"1"
"5284583","NA","NA","NA","NA","NA","NA","NA","0"
"34766","Ethiofencarb","HMDB0031782","34766","38483","C18649",NA,"CCSCC1=CC=CC=C1OC(O)=NC","1"
"68712","NA","NA","NA","NA","NA","NA","NA","0"
"20111686","Hesperetin 7-glucoside","HMDB0030747","20111686",NA,NA,NA,"COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C=C2O1","1"
"24436","NA","NA","NA","NA","NA","NA","NA","0"
"43359","NA","NA","NA","NA","NA","NA","NA","0"
"127293","N-(3-oxo-octanoyl)-homoserine lactone",NA,"127293",NA,"C11841",NA,"CCCCCC(=O)CC(=O)N1CCOC1=O","1"
"1216","NA","NA","NA","NA","NA","NA","NA","0"
"27867","NA","NA","NA","NA","NA","NA","NA","0"
"159278","4-Hydroxyphenyl-2-ethylglucopyranoside",NA,"159278",NA,NA,NA,NA,"1"
"440936","Arbutin","HMDB0029943","440936","18305","C06186",NA,"OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","1"
"8550","Deserpidine","HMDB0015221","8550","27478","C06541",NA,"[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2","1"
"18503","1,5-Naphthalene diisocyanate","HMDB0244232","18503",NA,"C19464",NA,"O=C=NC1=CC=CC2=C1C=CC=C2N=C=O","1"
"72734288","NA","NA","NA","NA","NA","NA","NA","0"
"46174023","NA","NA","NA","NA","NA","NA","NA","0"
"114703","Encecalin",NA,"114703",NA,NA,NA,NA,"1"
"11782294","Bis-D-fructose 2',1:2,1'-dianhydride",NA,"11782294",NA,NA,NA,NA,"1"
"23724665","NA","NA","NA","NA","NA","NA","NA","0"
"134025","Sergeolide",NA,"134025",NA,NA,NA,NA,"1"
"14132344","1-O-Vanilloyl-beta-D-glucose",NA,"14132344",NA,NA,NA,NA,"1"
"1549103","NA","NA","NA","NA","NA","NA","NA","0"
"10400039","2-Hydroxyfelbamate","HMDB0060670","10400039",NA,"C16582",NA,"NC(=O)OCC(O)(COC(N)=O)C1=CC=CC=C1","1"
"439280","5-Hydroxy-L-tryptophan","HMDB0000472","439280","17780","C00643",NA,"N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O","1"
"1081","Citramalic acid","HMDB0000426","1081","15584","C00815","5415","CC(O)(CC(O)=O)C(O)=O","1"
"439646","NA","NA","NA","NA","NA","NA","NA","0"
"7102","4-Aminobiphenyl","HMDB0013195","7102","1784","C10998",NA,"NC1=CC=C(C=C1)C1=CC=CC=C1","1"
"70652","Tyrosine methylester","HMDB0029217","70652","17215","C03404",NA,"COC(=O)[C@@H](N)CC1=CC=C(O)C=C1","1"
"440073","Leucopelargonidin","HMDB0032322","440073","17343","C03648",NA,"O[C@H]1[C@@H](O)C2=C(O)C=C(O)C=C2O[C@@H]1C1=CC=C(O)C=C1","1"
"5879","Androsterone","HMDB0000031","5879","16032","C00523","2797","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C","1"
"19069","NA","NA","NA","NA","NA","NA","NA","0"
"998","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"442349","Centarol",NA,"442349",NA,NA,NA,NA,"1"
"440297","3,5-Dichloro-4-hydroxyphenylpyruvate",NA,"440297",NA,NA,NA,NA,"1"
"443631","4-Hydroxy-3-nitrosobenzamide",NA,"443631",NA,NA,NA,NA,"1"
"32253","NA","NA","NA","NA","NA","NA","NA","0"
"39","2-Dehydropantolactone",NA,"39",NA,NA,NA,NA,"1"
